Systematic_name	Common_name	GCF_000146045.2_R64_genomic_ID	SGD_ID
YJR014W	TMA22	ID=cds3068	SGD:S000003775
YJR015W	NA	ID=cds3069	SGD:S000003776
YJR016C	ILV3	ID=cds3070	SGD:S000003777
YJR017C	ESS1	ID=cds3071	SGD:S000003778
YJR019C	TES1	ID=cds3072	SGD:S000003780
YJR021C	REC107	ID=cds3073	SGD:S000003782
YJR022W	LSM8	ID=cds3074	SGD:S000003783
YJR024C	MDE1	ID=cds3075	SGD:S000003785
YJR025C	BNA1	ID=cds3076	SGD:S000003786
YJR030C	RBH2	ID=cds3081	SGD:S000003791
YJR031C	GEA1	ID=cds3082	SGD:S000003792
YJR032W	CPR7	ID=cds3083	SGD:S000003793
YJR033C	RAV1	ID=cds3084	SGD:S000003794
YJR034W	PET191	ID=cds3085	SGD:S000003795
YJR035W	RAD26	ID=cds3086	SGD:S000003796
YJR036C	HUL4	ID=cds3087	SGD:S000003797
YJR039W	NA	ID=cds3088	SGD:S000003800
YJR040W	GEF1	ID=cds3089	SGD:S000003801
YJR041C	URB2	ID=cds3090	SGD:S000003802
YJR042W	NUP85	ID=cds3091	SGD:S000003803
YJR043C	POL32	ID=cds3092	SGD:S000003804
YJR044C	VPS55	ID=cds3093	SGD:S000003805
YJR045C	SSC1	ID=cds3094	SGD:S000003806
YJR046W	TAH11	ID=cds3095	SGD:S000003807
YJR047C	ANB1	ID=cds3096	SGD:S000003808
YJR048W	CYC1	ID=cds3097	SGD:S000003809
YJR049C	UTR1	ID=cds3098	SGD:S000003810
YJR050W	ISY1	ID=cds3099	SGD:S000003811
YJR051W	OSM1	ID=cds3100	SGD:S000003812
YJR052W	RAD7	ID=cds3101	SGD:S000003813
YJR053W	BFA1	ID=cds3102	SGD:S000003814
YJR054W	KCH1	ID=cds3103	SGD:S000003815
YJR055W	HIT1	ID=cds3104	SGD:S000003816
YJR056C	NA	ID=cds3105	SGD:S000003817
YJR057W	CDC8	ID=cds3106	SGD:S000003818
YJR058C	APS2	ID=cds3107	SGD:S000003819
YJR059W	PTK2	ID=cds3108	SGD:S000003820
YJR060W	CBF1	ID=cds3109	SGD:S000003821
